id,index_name,index_strike_price,option_type,expiry,entry_start_price,entry_end_price,exit_first_target_price,exit_second_target_price,exit_third_target_price,exit_stop_loss_price,created_at_time,order_id,order_status,quantity,metadata,entry_type
1860,BANKNIFTY,47000,CE,5JUN,46828,46916,47026,47137,47247,46828,2024-02-20 08:32:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0032905197733851498, ""trade_entered"": true}",PULL_BACK_STRATEGY
1861,BANKNIFTY,46900,PE,5JUN,-47024,-46959,-46877,-46795,-46714,-47024,2024-02-20 08:58:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001392696859511203, ""trade_entered"": true}",PULL_BACK_STRATEGY
1862,BANKNIFTY,47100,CE,5JUN,46925,47084,47284,47483,47682,46925,2024-02-21 04:57:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.003385381269539245, ""trade_entered"": true}",PULL_BACK_STRATEGY
1863,BANKNIFTY,47100,PE,5JUN,-47259,-47149,-47011,-46874,-46736,-47259,2024-02-21 07:06:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0005834638580088985, ""trade_entered"": true}",PULL_BACK_STRATEGY
1864,BANKNIFTY,47200,PE,5JUN,-47259,-47149,-47011,-46874,-46736,-47259,2024-02-21 07:24:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0005834638580088985, ""trade_entered"": true}",PULL_BACK_STRATEGY
1865,BANKNIFTY,47200,CE,5JUN,47097,47182,47288,47393,47499,47097,2024-02-21 08:24:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1866,BANKNIFTY,46600,CE,5JUN,46471,46531,46606,46681,46756,46471,2024-02-22 07:24:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0022565261961200647, ""trade_entered"": true}",PULL_BACK_STRATEGY
1867,BANKNIFTY,47000,CE,5JUN,46888,47024,47195,47365,47536,46888,2024-02-23 05:01:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.002900600215843815, ""trade_entered"": true}",PULL_BACK_STRATEGY
1868,BANKNIFTY,46900,CE,5JUN,46770,46809,46857,46906,46954,46770,2024-02-23 09:07:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0014471421399503358, ""trade_entered"": true}",PULL_BACK_STRATEGY
1869,BANKNIFTY,46900,PE,5JUN,-46960,-46892,-46807,-46722,-46637,-46960,2024-02-23 09:14:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0003627441885757476, ""trade_entered"": true}",PULL_BACK_STRATEGY
1870,BANKNIFTY,46800,CE,5JUN,46671,46752,46853,46953,47054,46671,2024-02-26 04:22:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0017218348984919505, ""trade_entered"": true}",PULL_BACK_STRATEGY
1871,BANKNIFTY,46600,PE,5JUN,-46687,-46633,-46564,-46496,-46428,-46687,2024-02-26 07:29:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0002927102286677725, ""trade_entered"": true}",PULL_BACK_STRATEGY
1872,BANKNIFTY,46700,CE,5JUN,46576,46659,46763,46868,46972,46576,2024-02-26 09:31:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001789560539654304, ""trade_entered"": true}",PULL_BACK_STRATEGY
1873,BANKNIFTY,46700,CE,5JUN,46513,46625,46764,46903,47042,46513,2024-02-26 09:46:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": true}",PULL_BACK_STRATEGY
1874,BANKNIFTY,46700,CE,5JUN,46523,46611,46722,46832,46942,46523,2024-02-28 05:20:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1875,BANKNIFTY,46200,CE,5JUN,46040,46144,46274,46403,46533,46040,2024-02-28 07:25:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.0022516372588537985, ""trade_entered"": true}",PULL_BACK_STRATEGY
1876,BANKNIFTY,46200,CE,5JUN,46053,46139,46247,46355,46463,46053,2024-02-28 09:03:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0018704045860672334, ""trade_entered"": true}",PULL_BACK_STRATEGY
1877,BANKNIFTY,46000,CE,5JUN,45913,46053,46228,46402,46577,45913,2024-02-28 09:40:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0030356031958518395, ""trade_entered"": true}",PULL_BACK_STRATEGY
1878,BANKNIFTY,47500,CE,5JUN,47345,47412,47496,47580,47664,47345,2024-03-04 05:24:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.0014152385974162624, ""trade_entered"": true}",PULL_BACK_STRATEGY
1879,BANKNIFTY,47400,CE,5JUN,47248,47287,47336,47384,47433,47248,2024-03-04 06:44:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.001435255430846126, ""trade_entered"": true}",PULL_BACK_STRATEGY
1880,BANKNIFTY,47500,CE,5JUN,47317,47385,47471,47557,47642,47317,2024-03-04 09:08:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.0014476971907076948, ""trade_entered"": true}",PULL_BACK_STRATEGY
1881,BANKNIFTY,47300,PE,5JUN,-47399,-47339,-47264,-47188,-47113,-47399,2024-03-05 05:31:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0012737790574245292, ""trade_entered"": true}",PULL_BACK_STRATEGY
1882,BANKNIFTY,47300,PE,5JUN,-47409,-47348,-47272,-47196,-47120,-47409,2024-03-05 06:34:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1883,BANKNIFTY,47600,CE,5JUN,47435,47545,47683,47820,47957,47435,2024-03-06 03:45:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.004044727352650138, ""trade_entered"": true}",PULL_BACK_STRATEGY
1884,BANKNIFTY,48100,CE,5JUN,47972,48041,48127,48212,48298,47972,2024-03-06 09:29:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001430024052296924, ""trade_entered"": true}",PULL_BACK_STRATEGY
1885,BANKNIFTY,47400,CE,5JUN,47275,47318,47372,47426,47481,47275,2024-03-11 08:44:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.000917188837346792, ""trade_entered"": true}",PULL_BACK_STRATEGY
1886,BANKNIFTY,47400,CE,5JUN,47230,47303,47395,47487,47578,47230,2024-03-11 09:48:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0015495551106778857, ""trade_entered"": true}",PULL_BACK_STRATEGY
